sku,name,qty
SKU-10001,Wireless Keyboard K380,45
SKU-10002,Ergonomic Mouse MX Master 3,30
SKU-10003,USB-C Hub 7-in-1,85
SKU-10004,Dell 27-inch 4K Monitor,18
SKU-10005,Logitech C920 Pro Webcam,25
SKU-10006,HDMI 2.1 Braided Cable 2m,120
SKU-10007,GaN Fast Charger 65W,60
SKU-10008,Cat6 Ethernet Cable 5m,150
SKU-10009,Mechanical Gaming Keyboard,22
SKU-10010,Portable SSD 1TB NVMe,40
SKU-10011,Noise Cancelling Headset,35
SKU-10012,Smart Barcode Scanner GM65,50
SKU-10013,Thermal Shipping Label Roll,200
SKU-10014,Heavy Duty Box Cutter,75
SKU-10015,ESD Anti-Static Wrist Strap,90
SKU-8901234567,Widget A Standard,100
SKU-8901234981,Widget B - Steel Reinforced,65
SKU-90000001,MacBook Pro M3 14-inch,15
SKU-90000002,Sony WH-1000XM5 Headphones,28
SKU-90000003,Apple iPad Air 11-inch,20
SKU-90000004,Dell UltraSharp 27-inch,14
SKU-90000005,Anker 737 Power Bank 24K,32
SKU-90000006,High-Speed Thunderbolt 4 Cable,80
SKU-90000007,Bluetooth Thermal Label Printer,12
SKU-90000008,Adjustable Laptop Stand Aluminum,45
